objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,date_published,publisher,licensing,copies,musical,adaptation,adaptation_of,description,colocated,notes,format
yppc_1,Mother Goose on the Loose,"Stephens, Jeffryn",04-08,4,4,3,11,TRUE,14,1986,YPPC,FALSE,6,FALSE,TRUE,Mother Goose,A series of nursery rhymes with a singular narrator.,,,record
yppc_2,Fire Demon and South Wind: A Korean Folktale,"Winther, Barbara",04-08,1,1,10,12,TRUE,11,1976,"Plays, Inc.",TRUE,7,FALSE,TRUE,Korean Folktale,A fire demon and the south wind conspire to cause mischief for a village. The villagers work together to come up with a solution.,,,record
yppc_3,A Christmas Carol,"Stephens, Jeffryn",00-99,25,30,3,58,TRUE,56,1981,YPPC,FALSE,13,TRUE,TRUE,A Christmas Carol by Charles Dickens,An adaptation of A Christmas Carol.,,Music and lyrics by Ty Stephens and Marilyn Older. Score included in green binder.,record
yppc_4,The Three Wishing Bags,"Swintz, Martha",12-18,3,3,5,11,FALSE,20,1992,YPPC,FALSE,2,FALSE,FALSE,,"A girl is given three wishing bags by a witch as a reward for her kindness, but warned that no one else can use them without dying. When the prince is given a bag by a member of the court, the girl uses her last wish to restore him to life.",,,record
yppc_5,Star Frontiers,"Neimeyer, Shaun",12-18,3,1,13,17,TRUE,31,1988,YPPC,FALSE,7,FALSE,FALSE,,A team of intergalactic explorers investigate reports of space pirates.,,Written by Shaun Neimeyer and Jeffryn Stephens,record
yppc_6,Once Upon an Island,"Stephens, Jeffryn",08-12,1,3,13,17,FALSE,24,1983,YPPC,FALSE,1,FALSE,FALSE,,Three siblings are lost at sea and wash up on an island inhabited by feuding magical creatures.,,,record
yppc_7,Aladdin Jr.,"Beguelin, Chad",04-18,3,1,21,25,,94,2017,Music Theater International,TRUE,2,TRUE,TRUE,1001 Arabian Nights,"A beggar is tricked into retrieving a magical lamp from an enchanted cave. The beggar keeps the lamp and befriends the genie, leading to him marrying the princess and assuming the sultanate.",,Broadway Jr script; need to look into liscenses.,record
yppc_8,The Trojan Horse,"Suranna, Keith",04-10,5,4,3,12,,32,1997,Little Golden Books,TRUE,1,FALSE,TRUE,The Illiad/The Odyssey,Based on Homer's epic poems.,,Crayola Kids Golden Books script,record
yppc_9,Adaptation,"May, Elaine",10-18,3,1,0,4,,25,1971,Dramatists Play Service Inc.,TRUE,3,FALSE,FALSE,,A contest in which the contestant advances or is sent back through the seven ages of man.,,,record
yppc_10,"20,000 Leagues Under the Sea","Suranna, Keith",07-10,3,1,2,6,,31,1997,Little Golden Books,TRUE,1,FALSE,TRUE,"20,000 Leagues Under the Sea","Based on Jules Verne's novel 20,000 Leagues Under the Sea",,,record
